,StationID,Replicate,SampleDate,Latitude,Longitude,Species,Abundance,Salinity
1,B18-10175,1,9/26/2018,32.93255,-117.25811,Musculista senhousia,19,31.9
2,B18-10175,1,9/26/2018,32.93255,-117.25811,Tellina cadieni,1,31.9
3,B18-10175,1,9/26/2018,32.93255,-117.25811,Laevicardium substriatum,6,31.9
4,B18-10175,1,9/26/2018,32.93255,-117.25811,Mytilidae,2,31.9
5,B18-10175,1,9/26/2018,32.93255,-117.25811,Petricola sp,2,31.9
6,B18-10175,1,9/26/2018,32.93255,-117.25811,Acteocina carinata,6,31.9
7,B18-10175,1,9/26/2018,32.93255,-117.25811,Bulla gouldiana,17,31.9
8,B18-10175,1,9/26/2018,32.93255,-117.25811,Nassarius tiarula,3,31.9
9,B18-10175,1,9/26/2018,32.93255,-117.25811,Lineidae sp,1,31.9
10,B18-10175,1,9/26/2018,32.93255,-117.25811,Tubulanidae sp,1,31.9
11,B18-10182,1,9/19/2018,32.55694,-117.12755,Streblospio benedicti,2,33.5
12,B18-10182,1,9/19/2018,32.55694,-117.12755,Nephtys caecoides,2,33.5
13,B18-10182,1,9/19/2018,32.55694,-117.12755,Diopatra splendidissima,1,33.5
14,B18-10182,1,9/19/2018,32.55694,-117.12755,Spiophanes berkeleyorum,1,33.5
15,B18-10182,1,9/19/2018,32.55694,-117.12755,Notomastus tenuis,1,33.5
16,B18-10182,1,9/19/2018,32.55694,-117.12755,Grandidierella japonica,28,33.5
17,B18-10182,1,9/19/2018,32.55694,-117.12755,Oxyurostylis pacifica,6,33.5
18,B18-10182,1,9/19/2018,32.55694,-117.12755,Tagelus affinis,3,33.5
19,B18-10182,1,9/19/2018,32.55694,-117.12755,Musculista senhousia,41,33.5
20,B18-10182,1,9/19/2018,32.55694,-117.12755,Tellina cadieni,14,33.5
21,B18-10182,1,9/19/2018,32.55694,-117.12755,Laevicardium substriatum,56,33.5
22,B18-10182,1,9/19/2018,32.55694,-117.12755,Mytilidae,2,33.5
23,B18-10182,1,9/19/2018,32.55694,-117.12755,Cryptomya californica,2,33.5
24,B18-10182,1,9/19/2018,32.55694,-117.12755,Chione californiensis,1,33.5
25,B18-10182,1,9/19/2018,32.55694,-117.12755,Leukoma sp,1,33.5
26,B18-10182,1,9/19/2018,32.55694,-117.12755,Acteocina carinata,5,33.5
27,B18-10182,1,9/19/2018,32.55694,-117.12755,Bulla gouldiana,9,33.5
28,B18-10182,1,9/19/2018,32.55694,-117.12755,Nassarius tiarula,22,33.5
