,StationID,Replicate,SampleDate,Latitude,Longitude,SalZone,AMBI_Score,S,H,Oligo_pct,MAMBI_Score,Orig_MAMBI_Condition,New_MAMBI_Condition,Use_MAMBI,Use_AMBI,YesEG
1,B18-10175,1,9/26/2018,32.93255,-117.25811,WEH,1.396551724,10,3.321928095,NA,0.693,Good,Reference,Yes,Yes,89.65517241
2,B18-10182,1,9/19/2018,32.55694,-117.12755,WEH,1.92,20,4.321928095,NA,0.763,Good,Reference,Yes,Yes,98
3,B18-10195,1,9/10/2018,32.80456,-117.22293,WEH,3.582434515,9,3.169925001,NA,0.497,Moderate,Low Disturbance,Yes,Yes,81.81818182
4,B18-10174,1,8/10/2018,32.97306,-117.24947,WEH,1.724872232,38,5.247927513,NA,0.908,High,Reference,Yes,With Care,78.70528109
5,B18-10194,1,8/10/2018,32.97614,-117.24785,WEH,1.772241993,31,4.95419631,NA,0.86,High,Reference,Yes,Yes,82.32502966
6,B18-10201,1,9/26/2018,32.59896,-117.11546,WEH,2.193413174,86,5.426264755,NA,1.013,High,Reference,Yes,Yes,83.11377246
7,B18-10201,1,9/26/2018,32.59899,-117.11547,WEH,2.193413174,86,5.426264755,NA,1.013,High,Reference,Yes,Yes,83.11377246
8,B18-10201,1,9/26/2018,32.59896,-117.11546,WEH,2.193413174,86,5.426264755,NA,1.013,High,Reference,Yes,Yes,83.11377246
9,B18-10201,1,9/26/2018,32.59899,-117.11547,WEH,2.193413174,86,5.426264755,NA,1.013,High,Reference,Yes,Yes,83.11377246
10,B18-10201,2,9/26/2018,32.59896,-117.11546,WEH,2.080811554,108,5.754887502,NA,1.11,High,Reference,Yes,With Care,74.62173315
11,B18-10201,2,9/26/2018,32.59899,-117.11547,WEH,2.080811554,108,5.754887502,NA,1.11,High,Reference,Yes,With Care,74.62173315
12,B18-10201,2,9/26/2018,32.59896,-117.11546,WEH,2.080811554,108,5.754887502,NA,1.11,High,Reference,Yes,With Care,74.62173315
13,B18-10201,2,9/26/2018,32.59899,-117.11547,WEH,2.080811554,108,5.754887502,NA,1.11,High,Reference,Yes,With Care,74.62173315
14,B18-10201,1,9/26/2018,32.59896,-117.11546,WEH,2.193413174,86,5.426264755,NA,1.013,High,Reference,Yes,Yes,83.11377246
15,B18-10201,1,9/26/2018,32.59899,-117.11547,WEH,2.193413174,86,5.426264755,NA,1.013,High,Reference,Yes,Yes,83.11377246
16,B18-10201,1,9/26/2018,32.59896,-117.11546,WEH,2.193413174,86,5.426264755,NA,1.013,High,Reference,Yes,Yes,83.11377246
17,B18-10201,1,9/26/2018,32.59899,-117.11547,WEH,2.193413174,86,5.426264755,NA,1.013,High,Reference,Yes,Yes,83.11377246
18,B18-10201,2,9/26/2018,32.59896,-117.11546,WEH,2.080811554,108,5.754887502,NA,1.11,High,Reference,Yes,With Care,74.62173315
19,B18-10201,2,9/26/2018,32.59899,-117.11547,WEH,2.080811554,108,5.754887502,NA,1.11,High,Reference,Yes,With Care,74.62173315
20,B18-10201,2,9/26/2018,32.59896,-117.11546,WEH,2.080811554,108,5.754887502,NA,1.11,High,Reference,Yes,With Care,74.62173315
21,B18-10201,2,9/26/2018,32.59899,-117.11547,WEH,2.080811554,108,5.754887502,NA,1.11,High,Reference,Yes,With Care,74.62173315
22,B18-10824,1,9/26/2018,32.58854,-117.10763,WEH,3.53087886,20,4.321928095,NA,0.63,Good,Reference,Yes,Yes,88.83610451
23,B18-10173,1,9/12/2018,33.08952,-117.28498,WEH,1.804054054,23,4.523561956,NA,0.798,High,Reference,Yes,With Care,59.72972973
24,B18-10171,1,9/12/2018,33.08992,-117.27848,WEH,5.496070727,11,3.459431619,NA,0.37,Poor,High Disturbance,Yes,Yes,99.21414538
25,B18-10172,1,9/12/2018,33.0896,-117.29459,WEH,1.771084337,25,4.64385619,NA,0.817,High,Reference,Yes,With Care,71.68674699
26,B18-10170,1,9/11/2018,33.13903,-117.33747,WEH,1.801507538,25,4.64385619,NA,0.814,High,Reference,Yes,Yes,98.49246231
27,B18-10169,1,9/11/2018,33.13982,-117.31879,WEH,2.041666667,14,3.807354922,NA,0.693,Good,Reference,Yes,Yes,100
28,B18-10168,1,9/11/2018,33.14021,-117.32424,WEH,1.576923077,11,3.459431619,NA,0.693,Good,Reference,Yes,Yes,89.74358974
