"StationID","Replicate","SampleDate","Latitude","Longitude","Species","Abundance","Salinity"
"B18-10182",1,2018-09-19,32.55694,-117.12755,"Streblospio benedicti",2,33.5
"B18-10182",1,2018-09-19,32.55694,-117.12755,"Nephtys caecoides",2,33.5
"B18-10182",1,2018-09-19,32.55694,-117.12755,"Diopatra splendidissima",1,33.5
"B18-10182",1,2018-09-19,32.55694,-117.12755,"Spiophanes berkeleyorum",1,33.5
"B18-10182",1,2018-09-19,32.55694,-117.12755,"Notomastus tenuis",1,33.5
"B18-10182",1,2018-09-19,32.55694,-117.12755,"Grandidierella japonica",28,33.5
"B18-10182",1,2018-09-19,32.55694,-117.12755,"Oxyurostylis pacifica",6,33.5
"B18-10182",1,2018-09-19,32.55694,-117.12755,"Tagelus affinis",3,33.5
"B18-10182",1,2018-09-19,32.55694,-117.12755,"Musculista senhousia",41,33.5
"B18-10182",1,2018-09-19,32.55694,-117.12755,"Tellina cadieni",14,33.5
"B18-10182",1,2018-09-19,32.55694,-117.12755,"Laevicardium substriatum",56,33.5
"B18-10182",1,2018-09-19,32.55694,-117.12755,"Mytilidae",2,33.5
"B18-10182",1,2018-09-19,32.55694,-117.12755,"Cryptomya californica",2,33.5
"B18-10182",1,2018-09-19,32.55694,-117.12755,"Chione californiensis",1,33.5
"B18-10182",1,2018-09-19,32.55694,-117.12755,"Leukoma sp",1,33.5
"B18-10182",1,2018-09-19,32.55694,-117.12755,"Acteocina carinata",5,33.5
"B18-10182",1,2018-09-19,32.55694,-117.12755,"Bulla gouldiana",9,33.5
"B18-10182",1,2018-09-19,32.55694,-117.12755,"Nassarius tiarula",22,33.5
"B18-10182",1,2018-09-19,32.55694,-117.12755,"Lineidae sp",1,33.5
"B18-10182",1,2018-09-19,32.55694,-117.12755,"Tubulanus polymorphus",2,33.5
"B18-10199",1,2018-08-08,32.65825,-117.08304,"Oligochaeta",6,26.5
"B18-10199",1,2018-08-08,32.65825,-117.08304,"Capitella capitata Cmplx",2,26.5
"B18-10199",1,2018-08-08,32.65825,-117.08304,"Streblospio benedicti",10,26.5
"B18-10199",1,2018-08-08,32.65825,-117.08304,"Neanthes acuminata Cmplx",4,26.5
"B18-10199",1,2018-08-08,32.65825,-117.08304,"Marphysa sp",1,26.5
"B18-10199",1,2018-08-08,32.65825,-117.08304,"Gammaridea sp",2,26.5
"B18-10199",1,2018-08-08,32.65825,-117.08304,"Grandidierella japonica",971,26.5
"B18-10199",1,2018-08-08,32.65825,-117.08304,"Monocorophium acherusicum",20,26.5
"B18-10199",1,2018-08-08,32.65825,-117.08304,"Tethygeneia opata",41,26.5
"B18-10199",1,2018-08-08,32.65825,-117.08304,"Monocorophium uenoi",31,26.5
"B18-10199",1,2018-08-08,32.65825,-117.08304,"Monocorophium sp",23,26.5
"B18-10199",1,2018-08-08,32.65825,-117.08304,"Nippoleucon hinumensis",10,26.5
"B18-10199",1,2018-08-08,32.65825,-117.08304,"Zeuxo sp",1,26.5
"B18-10199",1,2018-08-08,32.65825,-117.08304,"Musculista senhousia",2,26.5
"B18-10199",1,2018-08-08,32.65825,-117.08304,"Chionista fluctifraga",1,26.5
"B18-10199",1,2018-08-08,32.65825,-117.08304,"Acteocina carinata",83,26.5
"B18-10199",1,2018-08-08,32.65825,-117.08304,"Barleeia haliotiphila",2,26.5
"B18-10199",1,2018-08-08,32.65825,-117.08304,"Cerithidea californica",4,26.5
"B18-10194",1,2018-08-10,32.97614,-117.24785,"Oligochaeta",3,34.4
"B18-10194",1,2018-08-10,32.97614,-117.24785,"Capitella capitata Cmplx",9,34.4
"B18-10194",1,2018-08-10,32.97614,-117.24785,"Streblospio benedicti",47,34.4
"B18-10194",1,2018-08-10,32.97614,-117.24785,"Neanthes acuminata Cmplx",1,34.4
"B18-10194",1,2018-08-10,32.97614,-117.24785,"Scolelepis (Parascolelepis) texana",1,34.4
"B18-10194",1,2018-08-10,32.97614,-117.24785,"Scoletoma sp",1,34.4
"B18-10194",1,2018-08-10,32.97614,-117.24785,"Gammaridea sp",3,34.4
"B18-10194",1,2018-08-10,32.97614,-117.24785,"Podocerus fulanus",2,34.4
